Name,LeafA,LeafB,YoungAge,YoungProbabilityMass,OldAge,OldProbabilityMass
AerobicityXGBoost1442,UBA1X4,UBA1X5,,,2315.0,2.5e-2
AerobicityXGBoost1445,Verr11,Verr12,,,2315.0,2.5e-2
AerobicityXGBoost1446,Verr11,Verr14,,,2315.0,2.5e-2
AerobicityXGBoost1447,Verr2,Verr7,,,2315.0,2.5e-2
AerobicityXGBoost1450,Verr11,Verr9,,,2315.0,2.5e-2
AerobicityXGBoost1456,Acid3,Acid6,,,2315.0,2.5e-2
AerobicityXGBoost1458,Acid38,Acid40,,,2315.0,2.5e-2
AerobicityXGBoost1460,Acid21,Acid37,,,2315.0,2.5e-2
AerobicityXGBoost1461,Acid33,Acid34,,,2315.0,2.5e-2
AerobicityXGBoost1463,Acti13,Acti19,,,2315.0,2.5e-2
AerobicityXGBoost1465,Acti47,Acti50,,,2315.0,2.5e-2
AerobicityXGBoost1466,Acti14,Acti33,,,2315.0,2.5e-2
AerobicityXGBoost1467,Acti15,Acti49,,,2315.0,2.5e-2
AerobicityXGBoost1468,Acti12,Acti52,,,2315.0,2.5e-2
AerobicityXGBoost1470,Acti10,Acti31,,,2315.0,2.5e-2
AerobicityXGBoost1472,Arma11,Arma12,,,2315.0,2.5e-2
AerobicityXGBoost1474,Arma16,Arma6,,,2315.0,2.5e-2
AerobicityXGBoost1477,Bact20,Bact30,,,2315.0,2.5e-2
AerobicityXGBoost1479,Bact10,Bact33,,,2315.0,2.5e-2
AerobicityXGBoost1480,Bact21,Bact36,,,2315.0,2.5e-2
AerobicityXGBoost1481,Bact27,Bact40,,,2315.0,2.5e-2
AerobicityXGBoost1482,Bdell11,Bdell14,,,2315.0,2.5e-2
AerobicityXGBoost1483,Bdell15,Bdell7,,,2315.0,2.5e-2
AerobicityXGBoost1489,Chlo31,Chlo38,,,2315.0,2.5e-2
AerobicityXGBoost1493,Chlo43,Chlo47,,,2315.0,2.5e-2
AerobicityXGBoost1495,Cyan11,Cyan40,,,2315.0,2.5e-2
AerobicityXGBoost1496,Cyan12,Cyan13,,,2315.0,2.5e-2
AerobicityXGBoost1497,Cyan14,Cyan16,,,2315.0,2.5e-2
AerobicityXGBoost1498,Cyan33,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1499,Cyan31,Cyan46,,,2315.0,2.5e-2
AerobicityXGBoost1500,Cyan43,Cyan47,,,2315.0,2.5e-2
AerobicityXGBoost1503,Dein5,Dein7,,,2315.0,2.5e-2
AerobicityXGBoost1504,Dein2,Dein4,,,2315.0,2.5e-2
AerobicityXGBoost1505,DesuB1,DesuB4,,,2315.0,2.5e-2
AerobicityXGBoost1516,Dorm2,Dorm4,,,2315.0,2.5e-2
AerobicityXGBoost1517,Eise2,Eise4,,,2315.0,2.5e-2
AerobicityXGBoost1518,Elus3,Elus6,,,2315.0,2.5e-2
AerobicityXGBoost1519,Erem3,Erem6,,,2315.0,2.5e-2
AerobicityXGBoost1554,Firms12,Firms20,,,2315.0,2.5e-2
AerobicityXGBoost1556,Firms4,Firms8,,,2315.0,2.5e-2
AerobicityXGBoost1557,Gemm7,Gemm9,,,2315.0,2.5e-2
AerobicityXGBoost1563,Meth2,Meth5,,,2315.0,2.5e-2
AerobicityXGBoost1564,MyxA1,MyxA2,,,2315.0,2.5e-2
AerobicityXGBoost1565,Myxo14,Myxo2,,,2315.0,2.5e-2
AerobicityXGBoost1566,Myxo11,Myxo8,,,2315.0,2.5e-2
AerobicityXGBoost1567,Myxo10,Myxo15,,,2315.0,2.5e-2
AerobicityXGBoost1568,Myxo10,Myxo17,,,2315.0,2.5e-2
AerobicityXGBoost1571,Nitr10,Nitr15,,,2315.0,2.5e-2
AerobicityXGBoost1575,Pate21,Pate26,,,2315.0,2.5e-2
AerobicityXGBoost1578,Pate43,Pate44,,,2315.0,2.5e-2
AerobicityXGBoost1579,Pate33,Pate51,,,2315.0,2.5e-2
AerobicityXGBoost1583,Plan27,Plan31,,,2315.0,2.5e-2
AerobicityXGBoost1585,Plan16,Plan43,,,2315.0,2.5e-2
AerobicityXGBoost1586,ProtA11,ProtA20,,,2315.0,2.5e-2
AerobicityXGBoost1587,ProtA15,ProtA70,,,2315.0,2.5e-2
AerobicityXGBoost1588,ProtA19,ProtA46,,,2315.0,2.5e-2
AerobicityXGBoost1589,ProtA18,ProtA53,,,2315.0,2.5e-2
AerobicityXGBoost1590,ProtA34,ProtA40,,,2315.0,2.5e-2
AerobicityXGBoost1591,ProtA12,ProtA39,,,2315.0,2.5e-2
